DESCRIPTION,DURATION IN MS,NAME,PARENT SUITE,START TIME,STATUS,STOP TIME,SUB SUITE,SUITE,TEST CLASS,TEST METHOD
,41,verifyCompanyNameFieldDisplayed,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.register.RegisterPageElementsTest,Surefire test,com.tests.register.RegisterPageElementsTest,verifyCompanyNameFieldDisplayed
,2097,verifySuccessfulRegistrationFlow,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.register.RegisterSuccessfulTest,Surefire test,com.tests.register.RegisterSuccessfulTest,verifySuccessfulRegistrationFlow
,253,verifyIncorrectEmailFormatShowsError,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.register.RegisterValidationsTest,Surefire test,com.tests.register.RegisterValidationsTest,verifyIncorrectEmailFormatShowsError
,519,verifyRegisterLinkRedirectsToRegisterPage,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.home.HomePageTest,Surefire test,com.tests.home.HomePageTest,verifyRegisterLinkRedirectsToRegisterPage
,22,verifyFeaturedProductsAreVisible,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.home.HomePageTest,Surefire test,com.tests.home.HomePageTest,verifyFeaturedProductsAreVisible
,44,verifyPasswordFieldsDisplayed,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.register.RegisterPageElementsTest,Surefire test,com.tests.register.RegisterPageElementsTest,verifyPasswordFieldsDisplayed
,575,verifyEmptyPasswordShowsError,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.login.LoginPageValidationsTest,Surefire test,com.tests.login.LoginPageValidationsTest,verifyEmptyPasswordShowsError
,995,verifyLogoRedirectsToHomePage,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.home.HomePageTest,Surefire test,com.tests.home.HomePageTest,verifyLogoRedirectsToHomePage
,70,verifyRegisterBlockDisplayed,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.login.LoginPageElementsTest,Surefire test,com.tests.login.LoginPageElementsTest,verifyRegisterBlockDisplayed
,44,verifyNameFieldsDisplayed,Surefire suite,10/10/2025,passed,10/10/2025,com.tests.register.RegisterPageElementsTest,Surefire test,com.tests.register.RegisterPageElementsTest,verifyNameFieldsDisplayed
